Times;Media_gols;Media_Chutes;Media_chutes_errados;Media_defesas;Media_escanteios;Media_faltas_sofridas;Media_faltas_cometidas;Media_impedimentos;Vitorias;Derrotas;Empates
Arsenal;2.53;18.89;6.11;1.53;7.32;9.37;10.26;2.47;15.0;2.0;2.0
Aston Villa;2.53;14.68;4.79;2.42;6.0;13.47;11.16;1.26;12.0;3.0;4.0
Bournemouth;1.42;15.26;4.89;3.05;6.79;11.32;13.84;1.05;7.0;6.0;6.0
Brentford;1.53;14.0;5.58;3.21;5.0;10.79;9.11;2.0;5.0;7.0;7.0
Brighton;1.58;15.95;5.0;2.37;7.05;11.68;11.47;1.95;8.0;5.0;6.0
Chelsea;2.32;16.53;5.37;3.11;6.05;11.42;10.58;2.26;11.0;4.0;4.0
Crystal Palace;1.95;13.53;4.42;2.21;5.42;11.53;12.0;1.74;8.0;7.0;4.0
Everton;1.16;15.47;6.58;2.79;4.89;9.95;11.05;2.68;8.0;7.0;4.0
FC Burnley;1.0;13.37;5.84;3.84;5.58;9.42;10.42;1.95;2.0;13.0;4.0
Fulham;1.63;13.47;5.21;3.16;5.89;10.58;9.47;1.42;9.0;8.0;2.0
Liverpool;2.58;25.16;8.84;2.47;8.58;10.63;12.0;2.89;15.0;1.0;3.0
Luton;1.47;13.89;5.16;3.26;6.53;12.05;11.63;2.05;4.0;11.0;4.0
Man City;2.68;19.37;6.37;1.58;8.16;11.26;7.79;1.32;14.0;0.0;5.0
Man Utd;1.63;16.42;5.84;3.58;7.16;8.63;9.37;2.58;10.0;6.0;3.0
Newcastle;2.58;17.53;6.26;2.84;5.79;12.21;9.89;1.37;12.0;3.0;4.0
Nottm Forest;1.42;13.37;5.47;2.32;4.32;9.37;10.74;2.32;5.0;9.0;5.0
Sheff Utd;1.0;10.84;4.0;4.68;4.11;8.58;11.0;2.0;2.0;13.0;4.0
Tottenham;2.0;17.05;5.95;3.16;7.16;13.74;10.89;2.37;13.0;6.0;0.0
West Ham;1.63;13.16;5.68;3.95;4.63;11.53;10.32;1.95;7.0;4.0;8.0
Wolves;1.37;13.16;5.05;2.95;5.63;11.11;11.42;2.21;8.0;8.0;3.0
